,Open time,Date,Open,High,Low,Close,Volume
1229,1532576760000,2018-07-26_03:46:00,8223.48,8315.69,8188.0,8250.44,5554.822494000002
1230,1532591160000,2018-07-26_07:46:00,8251.41,8313.99,8219.96,8237.99,5506.994395999998
1231,1532605560000,2018-07-26_11:46:00,8242.05,8264.55,8180.0,8217.12,4897.292924999997
1232,1532619960000,2018-07-26_15:46:00,8219.98,8255.04,8191.0,8246.78,4240.821343000001
1233,1532634360000,2018-07-26_19:46:00,8245.9,8299.08,7850.06,7938.03,17575.750980000008
1234,1532648760000,2018-07-26_23:46:00,7941.0,7963.94,7861.04,7896.98,6764.088158000002
1235,1532663160000,2018-07-27_03:46:00,7893.78,7954.93,7885.0,7898.77,5193.032006999998
1236,1532677560000,2018-07-27_07:46:00,7899.98,8003.81,7898.1,7916.3,5780.838450000003
1237,1532691960000,2018-07-27_11:46:00,7910.42,8189.0,7805.0,8131.66,11794.591249999998
1238,1532706360000,2018-07-27_15:46:00,8129.99,8285.0,8115.3,8218.99,8852.046026999999
1239,1532720760000,2018-07-27_19:46:00,8221.44,8277.2,8128.0,8155.54,5631.113662999997
1240,1532735160000,2018-07-27_23:46:00,8147.22,8225.3,8140.0,8149.99,3822.855075000001
1241,1532749560000,2018-07-28_03:46:00,8149.99,8235.33,8140.09,8208.99,3955.911735999998
1242,1532763960000,2018-07-28_07:46:00,8208.99,8225.01,8145.0,8177.29,4098.684157999998
1243,1532778360000,2018-07-28_11:46:00,8185.01,8205.0,8084.0,8104.65,5639.410110000001
1244,1532792760000,2018-07-28_15:46:00,8109.49,8218.0,8067.0,8190.21,5405.299899999996
1245,1532807160000,2018-07-28_19:46:00,8194.0,8200.85,8150.0,8194.94,3060.4751280000014
1246,1532821560000,2018-07-28_23:46:00,8198.96,8294.51,8188.36,8234.88,5785.046248000002
1247,1532835960000,2018-07-29_03:46:00,8232.01,8245.1,8180.0,8180.0,3295.6278979999993
1248,1532850360000,2018-07-29_07:46:00,8186.13,8189.13,8115.0,8140.01,4165.791969999999
1249,1532864760000,2018-07-29_11:46:00,8136.76,8242.42,8136.0,8225.99,5300.533477000002
